#Table1
ra,dec,u,g,r,i,z,redshift,class
57.229649,0.014526,24.91026,22.35938,20.56165,19.45983,18.88576,0.499967,GALAXY
57.27255,0.064828,23.44216,21.65008,19.89881,19.24122,18.71173,0.3364788,GALAXY
57.342155,0.144374,21.94741,21.03773,20.00528,19.53531,19.15686,0.2452311,GALAXY
57.401417,0.110888,24.59084,22.52391,20.49731,19.67047,19.21177,0.3169449,GALAXY
57.405769,0.099943179,19.77787,19.45023,19.15962,18.9185,18.72023,1.967009,QSO
57.442293,0.1588531,20.19108,18.12336,16.78304,16.20603,15.78033,0.1593094,GALAXY
57.452672,0.044340819,21.0615,18.95099,17.8576,17.32337,16.92929,0.135144,GALAXY
57.458447,0.052274,20.72111,18.83282,17.6603,17.12585,16.69701,0.1297809,GALAXY
57.490415,0.074355106,20.41156,18.1079,16.81639,16.24067,15.76244,0.1315637,GALAXY
57.488434,0.075597845,22.9423,20.56686,19.3359,18.776,18.31603,0.1333835,GALAXY
57.391201,0.22402032,22.39327,21.63896,20.0725,19.42778,19.03903,0.2465844,GALAXY
57.475231,0.058292,22.39075,19.8304,18.47026,17.82543,17.31905,0.1355777,GALAXY
57.480087,0.10586,20.80197,19.00256,17.95014,17.38851,16.98455,0.1320954,GALAXY
57.487028,0.099157732,24.10896,21.27812,19.3722,18.63174,18.16487,0.3272851,GALAXY
57.466517,0.059494434,23.35666,24.19055,22.57578,21.2795,21.48138,0.1299547,GALAXY
57.357554,0.025731,21.94486,20.99007,19.98867,19.6284,19.26991,0.3261498,GALAXY
57.380072,0.130205,21.22626,20.34284,19.67066,19.4035,19.28424,0.1732017,GALAXY
57.393096,0.117669,24.73534,22.26351,20.34822,19.5885,19.22824,0.3937556,GALAXY
57.399227,0.209316,23.75402,22.39903,20.70438,19.41228,18.71345,-6.629725E-05,STAR
57.412219,0.052289666,20.34944,18.90586,18.09445,17.62329,17.23389,0.1598828,GALAXY
57.42892,0.073083,22.02452,20.925,19.74058,19.23929,18.84511,0.3616371,GALAXY
57.485433,0.168389,22.1916,21.11599,20.08304,19.57032,19.05955,0.2699885,GALAXY
57.488589,0.196928,21.18203,20.00773,18.98668,18.46308,18.20817,0.2330052,GALAXY
57.491634,0.208398,23.75616,22.49737,20.55482,19.5497,19.06884,0.5074175,GALAXY
57.498293,0.144411,22.56085,20.9637,19.7743,19.40597,18.82285,0.3083879,GALAXY
57.501411,0.058528,21.72765,20.87591,19.47204,18.94223,18.60406,0.2457161,GALAXY
57.512121,0.084868,18.83897,17.63091,17.09078,16.84627,16.71464,8.889643E-05,STAR
57.605619,0.027273755,18.21801,15.95427,14.95673,14.59481,14.36269,-2.619098E-05,STAR
57.508919,0.066566331,20.8444,18.73602,17.44259,16.77572,16.33969,0.1314003,GALAXY
57.509647,0.067161,21.90292,19.43848,18.09329,17.61892,17.06034,0.1306191,GALAXY
57.647249,0.030685607,19.73725,19.4862,19.04919,18.85514,18.79748,1.429148,QSO
57.507462,0.027608055,20.25136,18.69544,17.88887,17.43269,17.14268,0.1318834,GALAXY
57.508533,0.034534588,21.47253,19.8225,18.6819,18.14411,17.76768,0.1353511,GALAXY
57.598912,0.06362,22.81235,21.48987,20.04629,19.59547,18.99735,0.2418127,GALAXY
57.605278,0.051322363,21.36971,19.8243,18.92685,18.33403,18.00107,0.1318457,GALAXY
57.607098,0.1771452,21.13612,19.83283,19.15413,18.71026,18.50585,0.132174,GALAXY
57.613948,0.082052,21.24216,20.18587,19.36745,18.83952,18.56272,0.1351828,GALAXY
57.517231,0.108338,24.02369,21.91687,20.28049,19.21333,18.65386,0.5009795,GALAXY
57.590675,0.036214,22.52548,22.23056,20.09829,19.02595,18.3422,0.5054128,GALAXY
57.588699,0.139955,24.35701,22.49514,20.3319,19.28329,18.71613,0.4737468,GALAXY
57.769207,0.018469,24.20345,24.53743,21.62383,20.44507,20.40582,0.0002609348,STAR
57.674976,0.2125217,21.52771,20.26473,19.55693,19.1268,18.86871,0.1588084,GALAXY
57.766,0.12411446,20.09053,18.59606,17.84047,17.39025,17.1036,0.1249654,GALAXY
57.790602,0.12112867,21.19587,19.28557,18.20333,17.63428,17.28471,0.1725226,GALAXY
57.788335,0.017537,21.0911,19.64805,18.6079,18.06926,17.59928,0.2349057,GALAXY
57.664383,0.16807893,21.6652,20.27332,19.45184,19.03989,18.6847,0.1252175,GALAXY
57.722855,0.063712619,23.4214,20.59702,19.74972,19.31616,19.08722,0.132197,GALAXY
57.740335,0.197642,21.41442,20.39729,19.33007,18.83863,18.31886,0.2337731,GALAXY
57.825001,0.21560291,17.68076,17.32501,17.1707,17.08611,17.03252,0.6822563,QSO
57.851212,0.028721,22.28006,19.88432,18.452,17.8343,17.41785,0.2464816,GALAXY
57.943704,0.059708286,16.93403,15.38486,14.69913,14.44319,14.33092,0.0001166088,STAR
57.865536,0.14982,22.19689,19.6663,18.3876,17.53941,17.1504,7.551349E-05,STAR
57.866706,0.07067388,20.30746,19.95838,19.73298,19.47332,19.4019,1.547692,QSO
57.917016,0.17559139,20.2789,20.04589,19.51152,19.43904,19.38451,1.244225,QSO
57.944208,0.077157735,21.10596,18.82472,17.4814,16.91919,16.46698,0.1671959,GALAXY
57.899899,0.090752139,20.57331,18.70531,17.68302,17.17095,16.76792,0.1345017,GALAXY
57.910313,0.14054532,20.91702,19.75148,19.01481,18.60482,18.32499,0.1723519,GALAXY
57.894969,0.041108,20.39181,18.90447,18.29212,17.89178,17.68533,0.08220381,GALAXY
57.950837,0.071275,22.55081,21.3328,20.05217,19.59954,19.16396,0.1671552,GALAXY
58.016275,0.10064671,21.19741,19.65799,18.33916,17.73132,17.31156,0.1653405,GALAXY
57.975132,0.17545,20.33587,19.2508,18.86774,18.7108,18.61204,0.0006643924,STAR
58.00021,0.016393082,21.0184,18.85107,17.70889,17.12109,16.67537,0.08295874,GALAXY
58.016656,0.036795457,20.37586,18.36344,17.27271,16.75497,16.33305,0.08232159,GALAXY
58.063004,0.088183806,21.59543,19.01165,17.69961,17.13699,16.71766,0.1654301,GALAXY
58.097969,0.10191,20.69693,18.00692,16.49571,15.70788,15.26716,0.0002026054,STAR
58.023167,0.048083,20.39582,18.50271,17.33616,16.70716,16.20381,0.08173548,GALAXY
57.96796,0.033989169,21.28426,19.4671,18.74214,18.32163,18.13092,0.0819518,GALAXY
58.038353,0.117747,22.44247,20.96329,20.00247,19.47096,19.38536,0.2358172,GALAXY
58.058022,0.176163,22.30926,20.44593,19.1405,18.58247,18.28402,0.240065,GALAXY
58.153249,0.19076039,19.93018,18.52524,17.71631,17.23098,16.9971,0.1506906,GALAXY
58.175495,0.21870094,19.33956,19.10073,18.66402,18.58816,18.6467,1.161747,QSO
58.106073,0.190867,23.9199,20.93173,19.40141,18.01012,17.23484,5.016178E-05,STAR
58.137205,0.108405,22.53588,20.58376,18.9942,18.41136,18.03853,0.2485852,GALAXY
58.187031,0.19453409,20.61068,18.94984,18.05605,17.6171,17.26695,0.1692383,GALAXY
58.142863,0.166763,21.33719,20.14786,19.08738,18.57124,18.2515,0.2234489,GALAXY
58.124657,0.088368557,23.31299,20.93886,19.71641,19.01187,18.70278,0.2402734,GALAXY
58.212538,0.154844,22.85555,21.38138,20.16267,19.66467,19.37187,0.3810692,GALAXY
58.247818,0.21632686,26.32709,21.1452,19.27499,18.50337,17.99817,0.3671646,GALAXY
58.304031,0.013813,18.53223,17.24661,16.77493,16.59758,16.50323,4.655017E-05,STAR
58.395493,0.20984119,17.0049,15.36086,14.49837,14.39811,13.7894,0.0006135278,STAR
58.271351,0.09629,21.96671,19.09438,17.6361,16.9917,16.56875,0.0002495858,STAR
58.386764,0.061360556,21.22607,19.2852,17.83544,17.1959,16.75728,0.1706498,GALAXY
58.387178,0.065404,21.5316,20.27097,19.21834,18.65755,18.38894,0.1985118,GALAXY
58.280144,0.12611274,22.33375,20.68907,19.1437,18.54177,18.01597,0.3231319,GALAXY
58.321011,0.14599018,23.17228,20.57825,19.14963,18.55397,18.15417,-5.492099E-05,STAR
58.362509,0.056988872,21.90226,19.58863,18.29155,17.67697,17.23689,0.1698315,GALAXY
58.370487,0.054182384,22.00985,20.54013,19.79456,19.47281,19.34925,-0.0006849247,STAR
58.384167,0.120681,23.84005,21.06144,19.41521,18.68657,18.18893,-4.827339E-05,STAR
58.304821,0.086391,24.16281,22.07916,20.40646,19.02949,18.18834,8.113415E-05,STAR
58.38525,0.029532889,23.21402,21.31877,19.60581,18.90995,18.45097,0.2473035,GALAXY
58.387424,0.119536,22.43977,20.52178,19.15025,18.4628,17.96334,0.1706802,GALAXY
58.25603,0.0198,23.64763,21.40003,19.98352,19.30569,18.86954,0.3258542,GALAXY
58.313137,0.12342384,22.74771,21.45155,19.34433,18.5771,18.09097,0.3684698,GALAXY
58.323078,0.121536,23.16149,21.59719,19.54335,18.7386,18.31149,0.3686946,GALAXY
58.326843,0.201048,23.53078,21.42155,19.86593,19.12488,18.55572,0.2162786,GALAXY
58.355183,0.079495487,24.50392,21.8972,21.1263,20.79458,20.36792,6.449718,QSO
58.358971,0.152386,26.38953,20.94737,19.11162,18.36302,17.89128,0.2698921,GALAXY
58.369119,0.196259,23.72132,20.87369,20.17279,19.78598,20.09772,0.05351376,GALAXY
58.521462,0.18536793,22.81635,20.2268,18.74288,17.21303,16.4029,-0.0003783596,STAR
58.445278,0.179758,22.41751,20.27272,18.49207,17.76722,17.2261,0.246883,GALAXY
58.437634,0.028061861,22.15228,20.73248,19.45131,18.787,18.33272,0.1981291,GALAXY
58.53052,0.222925,23.17059,20.77441,19.43094,18.65598,18.13382,0.1498954,GALAXY
58.613635,0.12046,22.99731,20.74435,19.19653,18.51557,18.01326,0.1835155,GALAXY
58.577054,0.197217,21.63556,20.21417,18.81125,18.22658,17.75514,0.2121624,GALAXY
58.60107,0.18138874,22.26302,20.85619,19.93442,19.43712,19.12727,0.1829526,GALAXY
58.643667,0.148144,21.45873,20.18632,19.18346,18.67156,18.38251,0.2097104,GALAXY
58.68808,0.17495121,24.00592,20.54317,19.36835,18.71489,18.20515,0.1688475,GALAXY
58.737377,0.026460979,22.23869,19.18643,18.43634,18.18148,17.84661,0.06234159,GALAXY
58.71356,0.137434,22.27223,20.70256,18.9009,18.18161,17.72984,0.2749264,GALAXY
58.701609,0.071249,22.18452,20.8227,19.6452,19.0133,18.47615,0.2688016,GALAXY
58.755112,0.1660372,22.31945,19.96884,19.07325,18.56721,18.40355,0.140396,GALAXY
58.766968,0.07935,24.13013,22.01613,20.10822,19.20466,18.73793,0.4112562,GALAXY
58.872162,0.135317,20.27496,19.82026,19.28656,19.07273,18.48734,0.3295562,QSO
58.925453,0.036865,23.22584,20.86104,19.08917,17.84438,17.26167,1.263038E-05,STAR
58.880139,0.18292,23.66079,21.41805,20.20819,19.59889,19.16772,0.2154126,GALAXY
58.923336,0.051244896,23.43689,22.50598,20.85043,20.0553,19.59501,0.317386,GALAXY
36.653678,0.63106431,19.4573,18.126,17.62662,17.45301,17.32834,3.626431E-06,STAR
36.791325,0.63072199,21.14882,19.38595,18.33498,17.90789,17.55046,0.1323461,GALAXY
37.283395,0.63068053,24.58783,22.48932,20.72939,19.69421,19.20207,0.4615535,GALAXY
37.403962,0.62986108,21.34791,21.00733,20.58221,20.06521,19.9184,0.5832012,GALAXY
37.69015,0.63034825,19.25001,18.32965,17.98234,17.86072,17.78243,0.0001220516,STAR
39.421916,0.63011575,23.02662,21.47346,20.00964,19.57097,19.30149,0.5916583,GALAXY
39.450032,0.63019188,22.94494,23.79955,21.62331,20.53627,19.82931,1.278,GALAXY
40.279741,0.56350919,18.41061,17.24516,17.35439,17.45092,17.5481,0.0004362878,STAR
40.271241,0.61977927,19.70997,17.79713,17.0113,16.7352,16.59122,0.0001775945,STAR
40.272981,0.60606724,21.52482,19.137,17.77446,17.22886,16.89281,0.2178438,GALAXY
40.277733,0.46059502,20.87716,18.34473,17.20554,16.76624,16.51452,5.27331E-05,STAR
40.284912,0.48695129,19.72747,17.1829,16.09258,15.68735,15.47521,0.0001029516,STAR
40.285858,0.45547478,24.88171,24.87792,21.81944,20.78988,19.93387,0.812251,GALAXY
40.358199,0.52742113,21.52291,18.60571,17.45386,17.04536,16.68432,0,GALAXY
40.356531,0.58671668,19.15436,18.23266,17.97747,17.89799,17.85765,0.000784786,STAR
40.384911,0.43754693,23.95843,21.32254,19.64013,18.06835,17.2652,-7.858648E-05,STAR
40.365912,0.48215682,18.40755,16.80093,16.25361,16.07363,15.99621,-1.188767E-07,STAR
40.307424,0.48571071,20.08746,18.24578,17.40633,17.00751,16.77422,-9.980871E-05,STAR
40.326487,0.49139762,20.30934,20.02516,19.7519,19.8051,19.7398,1.095805,QSO
40.3289,0.50844,21.1137,18.50571,17.04259,16.20682,15.65484,0.0001238566,STAR
40.348139,0.49483637,21.4731,18.95885,17.59307,16.8224,16.40786,4.973223E-06,STAR
40.342529,0.598419,23.05161,20.76102,19.60165,19.15798,18.93674,0.0001892717,STAR
40.292319,0.4580633,21.32218,20.11019,19.63111,19.45875,19.27914,0.0003116123,STAR
40.30706,0.47488001,21.03832,19.96015,19.32418,18.97226,18.75928,0.2023623,GALAXY
40.312534,0.47960148,21.20198,21.12061,20.98692,20.61443,20.70556,0.3993384,GALAXY
40.345064,0.43611183,21.33695,20.22301,20.09698,20.16526,20.15811,-0.0003405693,STAR
40.365936,0.59339509,22.36231,21.95747,21.85618,22.05066,21.5146,1.23998,QSO
40.292744,0.55311259,23.48606,23.01905,22.80603,22.55708,21.82605,1.697405,QSO
40.293032,0.5563157,23.89396,23.73867,22.81001,22.65682,21.3636,0,GALAXY
40.299305,0.4408222,23.6208,23.02995,22.99971,22.68571,22.48568,0,GALAXY
40.302904,0.4551408,22.97334,22.40529,22.11516,22.04108,22.03048,-0.0004740328,STAR
40.323764,0.50664691,22.40952,21.54809,21.41933,21.24093,21.25659,0.02841123,GALAXY
40.369609,0.4420689,22.15805,22.63706,22.01223,21.62971,21.21289,0,GALAXY
40.310395,0.4528925,23.6668,23.6036,22.30213,22.24644,22.42457,6.357335,QSO
40.342124,0.58787338,24.78403,23.01854,22.37157,22.2806,22.4921,-5.782154E-05,STAR
44.223191,1.0513238,17.91608,16.9998,16.61383,16.46706,16.39825,-0.0004354652,STAR
44.244257,0.91321689,19.388,19.28972,18.97274,18.96854,19.04584,1.117033,QSO
44.190514,0.94423,19.771,18.64601,17.93077,17.50387,17.24255,0.1323255,GALAXY
44.190301,0.88925259,20.75858,20.02213,19.67522,19.57206,19.56455,0.003569196,STAR
44.196777,0.898175,21.14377,20.08737,19.72318,19.45819,19.30438,0.06360599,GALAXY
44.218256,0.9373659,20.27534,20.21467,19.82522,19.68236,19.82938,1.185911,QSO
44.231784,0.95512778,20.27888,19.24688,18.75989,18.55534,18.4969,-0.0002002291,STAR
44.252934,0.91989831,20.32457,18.73342,17.98873,17.65988,17.48757,-0.0004402835,STAR
44.255418,1.0549363,19.48185,17.89582,17.25847,17.01245,16.8871,0.0002448887,STAR
44.270443,1.0316891,19.64993,18.09986,17.10175,16.62688,16.3351,0.1514933,GALAXY
44.288811,0.89347156,19.60432,18.24687,17.54662,17.18493,16.93261,0.07254888,GALAXY
44.290184,0.96602131,20.22921,18.30682,17.34083,16.89756,16.57812,0.07445111,GALAXY
44.317725,0.90093706,21.69848,19.59746,18.57647,18.12275,17.87411,-0.0002210987,STAR
44.189613,0.95518398,20.6662,19.65183,19.16862,18.85278,18.70193,0.1095859,GALAXY
44.214836,0.993442,23.19409,20.71985,19.37242,18.67682,18.26025,-0.0001739648,STAR
44.230652,0.897497,23.46785,21.50057,20.08193,18.97816,18.35723,5.094727E-05,STAR
